EUKLEMS code,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012
_52,2318520,2800329,3157582,3645301,4091562,4238863,4771843,5062435,5520616,5663084,5276490,5748445,6151954,6804469,7459443,7974525,9421004,10897434,12055446,12382129,13608806,14549228,15070593,15904472,17285324,18932858,20302520,20852539,18422637,20842919,22706366,23517756,24657803,23818747,23767633,24419401,25390270,25417068,25745202,24552172,26734936,28342452,29011561
_H,2456682,2850300,3053275,3461824,3520728,3634204,3854099,3944049,3876520,3998911,3935545,3918672,4345773,4873137,5081325,5466365,5916443,6372707,6954075,7835532,8362700,9117731,9760326,10205674,11132957,12241517,13033697,13289427,11753101,14052827,14861786,16020567,16936011,16772705,16753301,16718239,17056324,18062904,18467110,18289683,18680091,18653928,18632553
_60,1245995,1404784,1513413,1898134,1993038,2202175,2553393,3217248,3679650,4276327,4081265,4294506,4647718,4975830,5785016,5964851,6467940,7182182,8023168,8433444,9246074,9021125,9483710,9744986,10385442,9280330,9124466,9242694,8741796,9487419,10236710,11213315,11347802,11763531,12403825,12499993,12965975,12696710,13565951,12272935,13322187,13772295,13953068
_61,417339,470524,506908,635768,667556,737605,855243,1053408,1363781,1415097,1683794,1604841,1759704,1819876,1778275,1694786,1673996,1750953,1797399,2001999,2185878,1838949,1762136,1616131,1887536,3648689,4704082,5883226,5435430,6183779,7152556,7224327,7399377,7135484,6934999,7857780,8651777,10235982,10691167,10540547,13625847,13621899,13217152
_62,215913,243428,262252,328919,345364,381604,442465,428458,434201,455940,445111,528851,622111,632666,700778,832481,940562,1048823,1122890,1164624,1202083,1243162,1497075,1569174,1631356,2433977,2625094,2759233,2540798,2689335,3133567,3125485,3173339,3196236,3639129,3496874,3736605,3768060,3612519,3236258,3441417,3634307,3789107
_63,57976,65365,70419,88321,92737,102468,118810,135068,160696,198103,188800,214890,259531,282786,294845,405921,419104,468577,562927,536611,639598,2157896,2410960,2552739,2739255,2752041,2807652,2969271,2758600,2955240,3391402,3592680,4069323,4142767,5028254,4938264,5111011,4694133,4838009,4963469,5500030,5974060,6106699
_64,65590,73948,89232,106432,132615,156939,196329,229610,269966,351708,469481,495685,485872,586765,736606,760573,902420,1084547,1286669,1523384,1809963,2170281,2485576,2930718,3561477,4372751,5276055,6444976,7338209,8994837,12224507,16368909,19338749,21248073,22802424,24461251,25283492,26727424,28218853,28435229,30417673,31427626,32708795
_65,634264,784896,875739,1135419,1097471,1352371,1596330,2102651,2693822,2925365,3692032,3428605,3735263,4124775,4797970,5837669,6364617,7860389,10015215,11443271,12519809,14478300,16356937,19263846,21582141,21172670,21654967,22803601,21937040,21343487,23255423,25742681,28804350,29045156,28957830,29658433,31820649,36432932,39308529,40711605,42065984,42512610,44695741
_66,0,0,0,0,0,0,63715,106058,148975,169971,221238,264206,338130,418180,529337,687781,704307,837793,1041107,1168507,1261431,1675084,2064598,2582062,3022988,8128545,9846035,9937141,9467600,7767461,6480391,6276362,11489159,11859025,11794482,12312822,13092456,12425852,13324120,13836010,14472575,15865957,17829477
_67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479967,930281,1462975,1893346,2250617,2466170,2677524,3058360,3344260,2691261,2478262,2457525,2562424,5485072,5520307,6215427,6348077,5951279,5459183,6421011,5770408,6687866,6104491,6645919,6164734,6008243,4751307
_70imp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_70x,7818593,8208990,8415584,8834723,9402887,9711779,10282069,11108482,11851009,12251253,12960896,13841821,14885593,15987431,16589056,17789345,18951984,20138399,21626723,22791963,24102115,25947119,27633378,29345385,31199317,33185179,35215210,37520764,38722098,39758867,41592249,41934567,42334109,43062708,44048432,45470495,46596156,44582366,44979900,43659319,42984178,43149539,42008747
_71,7047,6978,8358,10051,10812,12880,16567,18028,25265,42301,50186,54272,56024,59386,92767,180512,276988,365212,500299,625936,811125,1107439,1440797,1550160,1695597,1989042,1940728,2571207,2239622,1046084,1060418,807995,828925,812214,673620,728486,810845,1022231,858440,868404,1104596,1328444,1368983
_72,37234,40225,36607,55292,53993,60125,96574,110537,107224,139860,156417,162927,151138,143202,183961,344108,426482,582438,621538,771431,833991,1080151,1309182,1522483,1900325,2319891,2825076,3079669,3334815,4121405,4886228,5033589,5775703,5715348,5722022,6058376,6584812,7315153,7605065,7987950,8018375,8753591,9226060
_73,232799,253499,267198,282932,286142,298451,322992,412040,440559,491805,499222,551617,649538,855321,998884,1221634,1523776,1776806,2116948,2405303,2577846,2889444,3262853,3678120,4192764,4619725,5127794,5507208,4871431,5000772,5546643,5886799,6067395,6396370,6989029,7422336,8117496,6934505,7285677,7552849,7704539,7799540,7951544
_741t4,266440,342411,404400,471313,516864,650603,908411,1078748,1162389,1398404,1441187,1541418,1706177,2033550,2678528,3173770,3455730,4199388,4852924,5368948,6172157,6929695,7595064,7788146,8118855,8852803,9370924,9561489,8212016,8673731,9103967,8701076,9767070,9951322,9759322,9711857,10160851,9892094,10098520,10161320,10143442,10274577,10608919
_745t8,125694,160913,187589,224258,240366,292510,425978,545428,674019,839070,859494,853527,817365,812797,894285,931745,1055035,1330729,1504359,1652582,1787461,2063007,2279738,2561013,2779378,3045576,3664580,4083058,4259062,4907342,5215198,5342587,6205536,6633259,6815195,7158823,7829706,8559577,8915343,8677623,9691252,10246828,10555189
_L,12249736,12743879,12624078,12762494,13073829,13321896,13613521,14094636,14556413,15137591,15742354,16053726,16455364,16785866,16873634,17221080,17740625,18299781,19108208,20040248,21062923,22114224,23267259,24296327,25003115,25607283,26838465,27846129,28010441,29062098,29148747,29618399,30393616,31189876,31838134,32662541,33642665,34326903,34799964,36105510,36684254,37271462,38488111
_M,7641279,8234962,8688788,9100520,9287215,9871834,10224631,10571123,11073662,11487090,12086645,13049719,13947813,14581637,15237478,15897519,16628380,17317191,18078244,18947522,19877019,20685144,21540263,22268635,23129755,24004954,24696378,25204968,24917259,25182414,25696696,26942895,28123190,29169841,29813610,30174234,30983350,31442289,32478922,32803516,33201485,33220350,33280455
_N,931560,1139195,1149053,1262586,1370189,1410434,1453329,1631846,1912483,2031698,2201869,2601959,3120032,3890740,4743290,5829052,6345664,6917522,7892970,8684836,9429724,10225282,10952335,11453059,12271485,13109275,13523234,14333945,13536350,14206995,14087033,13526698,14343823,15018628,15672901,16547699,17668526,18179386,18893507,20397388,21783643,22533291,24026645
_90,158913,189782,199236,214335,220313,221063,230870,266659,385316,473777,557840,606397,602094,671667,632914,637385,857774,1010773,1099703,1494945,1435352,1535554,1729325,1924526,2039586,2104995,2154145,2237880,2303112,2519701,2539966,2564078,2707241,2895174,3178695,3250265,3373211,3612803,3817976,4183558,4260406,4338907,4494408
_91,136582,169722,186206,182812,191457,241145,279933,335486,398950,432980,463582,503025,496284,491962,484450,532111,527810,532784,592139,655323,655101,653215,641644,628159,639181,662821,663765,676313,620992,644572,657998,670220,746724,720390,682410,697513,700814,707219,696226,687052,728951,742240,773286
_921t2,99947,109818,119060,150890,171416,193782,245151,310762,347554,415403,408203,390646,425215,496475,544908,546352,540104,583472,696263,749524,815547,944674,1100163,1172763,1311452,1661438,1702438,1584346,1230838,1459767,1708479,1680421,1894861,1937287,2051427,2292058,2528832,2578123,2489656,2654911,2800673,3010295,3149622
_923t7,636563,617387,551995,580203,554991,496954,537910,541985,546446,674577,648556,662128,714884,828415,975212,1181332,1309642,1537272,1622242,1718181,1990837,2337827,2605262,2836747,3220388,3526703,3770056,4187925,4065156,4446309,5008486,5939485,6853126,6715545,6691901,6807537,6920868,7764216,8023361,8212491,8383259,8528762,8760372
_93,571998,648174,727960,770847,778140,814865,837275,885593,916295,1013510,1086643,1077382,1139682,1241020,1369871,1497691,1667290,1759598,1894437,2152646,2207066,2394547,2503410,2689677,2892557,3113696,3239103,3395605,3256815,3524995,3668609,3726129,3924267,3878738,3809362,3908648,4058414,4366428,4469380,4333438,4248426,4231986,4191489
_P,303116,355439,368616,398534,407787,409855,418202,415340,437343,429840,318052,139577,142884,155215,183588,238306,260478,263707,353514,400230,399168,407253,429796,509605,594639,661991,697553,728416,700176,749947,777341,786827,768935,785714,780841,773289,773983,853159,954013,1015197,1012370,876784,871637
_Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
