EUKLEMS code,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012
_71,41776.58203,72686.39063,117394.5625,191471.5313,241494.7344,345039.9375,550599.5625,852625.6875,955282.4375,983620.8125,960642.625,1034303.313,1198365.125,1460291.75,1717330.375,1953663,2254659.75,2488979.5,2257794.75,2329913,2118833.75,2010054.25,2023260,2269648,2433835.75,2727941.25,2663834.75,2770264.25,4103645,5082179.5,5657356,6339791,7126616.5,8010370,8879373,9674542,10346346,11059390,11689315,12233900,12880510,13478065,14003085
_72,18819.41211,32743.58789,52883.61719,86253.625,108787.9609,155432.75,248032.7656,384088.75,430333.3125,443099.125,432747.9375,465930.4688,539836.5625,657828.625,773618.8125,880081.3125,1015673.688,1121229.375,1010227.063,1035085.188,928058.5,866493.4375,860198.5625,950290.375,1005168.875,1114460,1077166.125,1109348.625,1735362.75,2196085.25,2470747.25,2790109,3153596.5,3558436.5,3954826.25,4316554.5,4621636,4944431,5229156.5,5474976.5,5766373,6035433,6271666.5
_73,54119.71484,94162.00781,152079.4688,248042.9063,312845.75,446984.0313,713277.5,1104539,1237526.25,1274237.375,1244470.125,1339894.375,1552429,1891743.5,2224725.75,2530884.25,2920812.25,3224363,2979426,3133534,2955058.75,2914055.75,3028546,3513965,3878453.75,4443952.5,4427838.5,4691075.5,6533951,7888115,8693871,9624924,10680379,11852816,12997675,14038975,14913012,15836953,16648352,17345000,18173518,18935962,19601910
_741t4,36707.76953,63867.25,103150.9141,168240.0156,212193.8281,303175.75,483794.5625,749175.4375,839376.6875,864276.75,844086.5,908809.875,1052965.75,1283112.5,1508964.25,1716622.25,1981098.875,2186988,2015463.875,2113994,1983555,1945870.25,2013902.25,2326720.25,2558942,2924271,2906726.75,3072884.25,4291736,5186523,5715850.5,6333871.5,7039221.5,7826260.5,8596810,9299130,9889845,10515360,11065734,11539291,12102444,12621388,13075470
_745t8,16569.16016,28828.41016,46560.27734,75940.21094,95780.09375,136847.5313,218375.2813,338162.9375,378878,390117.4063,381003.9375,410218.7813,475287.875,579171.5625,681116.5625,774849.3125,894228.75,987163.125,902681.6875,939304.375,868138.4375,838199.75,856307.3125,975997.4375,1061177,1202206.25,1185626.5,1244405.625,1772242.75,2158613,2384339.75,2652451.5,2961883.25,3309729,3651655.75,3964217.5,4227757.5,4507720,4754692,4967803.5,5221532.5,5455836.5,5661387.5
_L,6784649,7766932,8388438.5,8594777,7208551,6972532,7303310,7673509,10861280,13402167,14584909,17194116,21721508,27525462,33074366,39863344,47671788,52871964,62933992,72750544,78484112,91199544,108563208,126626776,147661488,162450544,188732000,209002640,227242304,245296080,262983200,281294016,298581376,317360288,336093696,353042080,368351552,384226144,398946944,412481984,427584352,441954656,455180768
_M,1408436,1632159.875,1710401.875,1749905.75,1436065.75,1369557.25,1475053.75,1541379.25,2100596.5,2597081.75,2822936,3547256,4445160.5,5456719,6837636,8204358,9653003,11101558,13679027,15752979,17661258,19491490,22589410,26865442,32166426,37779968,43235408,52462872,53359512,54496284,58402316,63120128,68819800,73804520,78886416,83843168,88849856,93898296,98215376,101819000,105966608,109703000,112889496
_N,459820.4063,523389.6875,561602.375,574490.25,483240.7188,465844.875,490846.5313,515687.9063,606330.6875,669668.4375,692276.5,857801.9375,1117590,1440828,1942901.125,2438322.5,3072820.75,3607328.25,4465050,5116658,5373428,5931001.5,6833444,7854466,9327475,10429798,12377653,13699418,15851498,18138090,19830086,21345538,23251388,24875064,26441198,27905828,29645108,31424638,32987300,34333048,35865976,37270300,38499392
_90,26000.13477,29607.85352,31854.69531,32617.90234,27426.04688,26399.55469,27806.11523,29192.84375,40193.24219,48705.48438,53038.48047,63257.86328,79404.85938,98088.00781,122651.8828,146950.7031,178597.0938,204353.9688,243871.2188,276668.25,289539.3125,321364.9375,373364.7813,433054.9375,524919,597593.75,714584.5625,788481.5,757163.0625,734825.875,725239.75,722775.4375,736045.4375,748281.125,761559.6875,778349.3125,804701.3125,834917.375,864492,892926.1875,926414.25,959672.6875,991619.875
_91,385382.8438,438857.6875,472161.125,483473.625,406518.1875,391303.1563,412151.6875,432706.25,595757.875,721929.25,786154.375,937629.5625,1176965.875,1453893.875,1817987.875,2178153.25,2647226.75,3029004,3619808.25,4110424.75,4304912.5,4780922.5,5557110.5,6447692.5,7817739.5,8902039,10646606,11748974,11826403,11951021,12194058,12480601,12952761,13360647,13743004,14143837,14661441,15212502,15731436,16213809,16757768,17284376,17779048
_921t2,202250.3438,230314.125,247791.9063,253728.75,213342.25,205357.3438,216298.7344,227085.8438,312655.9375,378871.125,412576.7188,492071.4688,617676.0625,763008.875,954086.8125,1143102.875,1389274.375,1589632.5,1802269.875,1973450.5,2004203.125,2171713,2474672.5,2829863.75,3387207.25,3819919,4533773,4976874,6223219.5,7474308.5,8925630,10035219,11225156,11978668,12621602,13255945,14079253,14915796,15636160,16242898,16942014,17569894,18105042
_923t7,353010.0938,401992.9688,432498.8438,442861.125,372370.0313,358433.0938,377530.3125,396358.2813,545713.3125,661286.0625,720116.1875,858867.25,1078098.875,1331764.5,1665274.125,1995185.125,2424855.75,2774563,3381152.5,3888502,4114538.25,4605826.5,5386905.5,6278009,7641521.5,8726282,10459738,11560439,13308188,15024567,17013136,18700720,20725172,22155230,23376072,24578838,26123908,27693564,29052658,30205614,31527540,32723082,33752636
_93,159553.2031,181692.4531,195480.4844,200164,168303.5,162004.2969,170635.8438,179145.6875,246651.0625,298887.5313,325477.5313,388190.125,487278.2813,601929.8125,752669.25,901782.125,1095984.25,1254044.75,1896917.75,2452842,2824916.75,3358462.25,4106573,4933944,6162077,7168353,8715230,9725277,9518868,9342216,9218585,9115797,9092733,9045996,8996220,8961806,8981470,9019320,9047180,9063561,9109521,9150238,9180094
_P,224419.1875,255559.0781,274952.5938,281540.1875,236726.8906,227866.7656,240007.4375,251976.9375,346926.4688,420399.5625,457799.625,546007.875,685380.0625,846642.9375,1058665.125,1268399.5,1541554,1763873.625,1714416.125,1651541.375,1476737,1421492.375,1451843.5,1517292.75,1662114.25,1742850.25,1944038.25,2038960.5,2244349,2457121.25,2713569.5,2971551,3316612.25,3605711.5,3869972,4137127.75,4463269,4799359,5107049,5385386.5,5693139.5,5982239,6245597.5
_Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
